order_time, settle_time, hold_time, algorithm, side, profit
2018-05-18 11:00:00,2018-05-18 22:11:00,40260.0,# in  Algorithm,buy,-0.5020000000000095
2018-05-18 23:00:00,2018-05-19 05:00:00,21600.0,# in  Algorithm,buy,-0.09899999999998954
2018-05-22 12:00:00,2018-05-22 16:12:20,15140.0,# in  Algorithm,sell,-0.5130000000000052
2018-05-22 19:00:00,2018-05-22 23:45:30,17130.0,# in  Algorithm,sell,0.5049999999999955
2018-05-23 01:00:00,2018-05-23 10:20:40,33640.0,# in  Algorithm,sell,0.5030000000000143
2018-05-23 11:00:00,2018-05-23 15:59:50,17990.0,# in  Algorithm,sell,0.5039999999999907
2018-05-23 17:00:00,2018-05-23 17:31:20,1880.0,# in  Algorithm,sell,0.5450000000000159
2018-05-23 18:00:00,2018-05-23 18:42:30,2550.0,# in  Algorithm,sell,0.5109999999999957
2018-05-23 19:00:00,2018-05-23 22:28:40,12520.0,# in  Algorithm,sell,-0.5029999999999859
2018-05-23 23:00:00,2018-05-24 10:30:00,41400.0,# in  Algorithm,sell,0.5029999999999859
2018-05-24 11:00:00,2018-05-24 17:21:50,22910.0,# in  Algorithm,sell,-0.5100000000000193
2018-05-24 21:00:00,2018-05-24 22:33:30,5610.0,# in  Algorithm,sell,0.5109999999999957
2018-05-25 00:00:00,2018-05-25 01:57:10,7030.0,# in  Algorithm,sell,-0.5060000000000002
2018-05-25 04:00:00,2018-05-25 20:58:30,61110.0,# in  Algorithm,sell,0.5220000000000198
2018-05-25 22:00:00,2018-05-25 22:44:10,2650.0,# in  Algorithm,sell,0.5270000000000152
2018-05-25 23:00:00,2018-05-26 05:00:00,21600.0,# in  Algorithm,sell,-0.38399999999998613
2018-05-29 11:00:00,2018-05-29 15:40:30,16830.0,# in  Algorithm,buy,-0.5169999999999959
2018-05-29 20:00:00,2018-05-29 21:51:40,6700.0,# in  Algorithm,buy,0.5180000000000007
2018-05-29 22:00:00,2018-05-30 00:20:10,8410.0,# in  Algorithm,buy,-0.507000000000005
2018-05-30 02:00:00,2018-05-30 03:05:50,3950.0,# in  Algorithm,buy,-0.5040000000000191
2018-05-30 08:00:00,2018-05-30 15:58:20,28700.0,# in  Algorithm,sell,-0.5030000000000143
2018-05-30 16:00:00,2018-05-30 21:15:10,18910.0,# in  Algorithm,sell,-0.5380000000000109
2018-05-30 23:00:00,2018-05-31 09:12:40,36760.0,# in  Algorithm,sell,0.5030000000000143
2018-05-31 11:00:00,2018-05-31 14:47:20,13640.0,# in  Algorithm,buy,0.5040000000000191
2018-05-31 15:00:00,2018-05-31 22:29:40,26980.0,# in  Algorithm,buy,-0.5169999999999959
2018-05-31 23:00:00,2018-05-31 23:44:40,2680.0,# in  Algorithm,buy,0.5089999999999861
2018-06-01 01:00:00,2018-06-01 10:18:00,33480.0,# in  Algorithm,buy,0.5130000000000052
2018-06-01 11:00:00,2018-06-01 18:47:50,28070.0,# in  Algorithm,buy,0.5080000000000098
2018-06-01 20:00:00,2018-06-01 21:43:10,6190.0,# in  Algorithm,buy,0.5339999999999918
2018-06-01 22:00:00,2018-06-02 05:00:00,25200.0,# in  Algorithm,buy,0.18700000000001182
2018-06-05 08:00:00,2018-06-05 17:37:50,34670.0,# in  Algorithm,buy,0.5050000000000239
2018-06-05 18:00:00,2018-06-06 08:38:20,52700.0,# in  Algorithm,buy,0.5050000000000239
2018-06-06 09:00:00,2018-06-06 16:23:00,26580.0,# in  Algorithm,buy,0.5219999999999914
2018-06-06 17:00:00,2018-06-07 20:41:10,99670.0,# in  Algorithm,buy,-0.5240000000000009
2018-06-07 21:00:00,2018-06-08 00:37:10,13030.0,# in  Algorithm,buy,0.5169999999999959
2018-06-08 02:00:00,2018-06-08 16:03:00,50580.0,# in  Algorithm,buy,-0.5099999999999909
2018-06-08 17:00:00,2018-06-08 19:47:20,10040.0,# in  Algorithm,sell,0.5100000000000193
2018-06-08 20:00:00,2018-06-08 21:24:50,5090.0,# in  Algorithm,sell,-0.5060000000000002
2018-06-08 22:00:00,2018-06-09 03:52:00,21120.0,# in  Algorithm,sell,-0.5029999999999859
2018-06-09 04:00:00,2018-06-09 05:00:00,3600.0,# in  Algorithm,sell,0.06999999999999318
2018-06-12 08:00:00,2018-06-12 17:04:50,32690.0,# in  Algorithm,buy,0.5150000000000148
2018-06-12 18:00:00,2018-06-12 22:32:30,16350.0,# in  Algorithm,buy,-0.5030000000000143
2018-06-12 23:00:00,2018-06-13 00:41:50,6110.0,# in  Algorithm,buy,0.5020000000000095
2018-06-13 01:00:00,2018-06-13 17:12:40,58360.0,# in  Algorithm,buy,-0.5030000000000143
2018-06-13 18:00:00,2018-06-14 21:59:10,100750.0,# in  Algorithm,buy,-0.5150000000000148
2018-06-14 22:00:00,2018-06-15 09:52:10,42730.0,# in  Algorithm,buy,-0.507000000000005
2018-06-15 10:00:00,2018-06-15 19:48:30,35310.0,# in  Algorithm,sell,-0.5109999999999957
2018-06-15 21:00:00,2018-06-16 05:00:00,28800.0,# in  Algorithm,sell,0.06999999999999318
2018-06-19 08:00:00,2018-06-19 10:53:40,10420.0,# in  Algorithm,sell,0.507000000000005
2018-06-19 12:00:00,2018-06-19 14:59:30,10770.0,# in  Algorithm,sell,0.5089999999999861
2018-06-19 15:00:00,2018-06-19 16:06:40,4000.0,# in  Algorithm,sell,0.5190000000000055
2018-06-19 17:00:00,2018-06-20 22:23:10,105790.0,# in  Algorithm,sell,-0.5010000000000048
2018-06-21 01:00:00,2018-06-21 17:44:20,60260.0,# in  Algorithm,sell,0.5130000000000052
2018-06-21 18:00:00,2018-06-21 20:00:20,7220.0,# in  Algorithm,buy,0.6380000000000052
2018-06-21 22:00:00,2018-06-22 02:29:20,16160.0,# in  Algorithm,buy,-0.5020000000000095
2018-06-22 03:00:00,2018-06-22 16:01:40,46900.0,# in  Algorithm,buy,0.5049999999999955
2018-06-22 17:00:00,2018-06-22 23:27:20,23240.0,# in  Algorithm,buy,-0.5060000000000002
2018-06-23 00:00:00,2018-06-23 05:00:00,18000.0,# in  Algorithm,buy,-0.07800000000000296
2018-06-26 15:00:00,2018-06-26 18:35:20,12920.0,# in  Algorithm,sell,0.5229999999999961
2018-06-26 19:00:00,2018-06-27 03:58:10,32290.0,# in  Algorithm,sell,-0.5039999999999907
